service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20150628","20150628"
"10","0","0","0","1","0","0","0","20150625","20150625"
"11","0","0","0","1","0","0","0","20150625","20150625"
"12","0","0","0","1","0","0","0","20150625","20150625"
"13","0","0","0","1","0","0","0","20150625","20150625"
"14","0","0","0","1","0","0","0","20150625","20150625"
"15","1","0","0","0","0","0","0","20150622","20150622"
"16","1","0","0","0","0","0","0","20150622","20150622"
"17","1","0","0","0","0","0","0","20150622","20150622"
"18","1","0","0","0","0","0","0","20150622","20150622"
"19","0","1","0","0","0","0","0","20150623","20150623"
"2","0","0","0","1","0","0","0","20150625","20150625"
"20","0","1","0","0","0","0","0","20150623","20150623"
"21","0","1","0","0","0","0","0","20150623","20150623"
"22","0","1","0","0","0","0","0","20150623","20150623"
"23","0","0","1","0","0","0","0","20150624","20150624"
"24","0","0","1","0","0","0","0","20150624","20150624"
"25","0","0","1","0","0","0","0","20150624","20150624"
"26","0","0","1","0","0","0","0","20150624","20150624"
"27","0","0","1","0","0","0","0","20150624","20150624"
"28","0","0","0","0","0","1","0","20150627","20150627"
"29","0","0","0","0","0","1","0","20150627","20150627"
"3","1","0","0","0","0","0","0","20150622","20150622"
"30","0","0","0","0","1","0","0","20150626","20150626"
"31","0","0","0","0","1","0","0","20150626","20150626"
"32","0","0","0","0","1","0","0","20150626","20150626"
"33","0","0","0","0","1","0","0","20150626","20150626"
"34","0","0","0","0","1","0","0","20150626","20150626"
"4","0","1","0","0","0","0","0","20150623","20150623"
"5","0","0","1","0","0","0","0","20150624","20150624"
"6","0","0","0","0","0","1","0","20150627","20150627"
"7","0","0","0","0","1","0","0","20150626","20150626"
"8","0","0","0","0","0","0","1","20150628","20150628"
"9","0","0","0","0","0","0","1","20150628","20150628"
