route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"0040","1","40","République <> Beaulieu Atalante","Express urbaine","3","","FFDD00","3D3C3F"
"0044","1","44","République <> Joliot-Curie","Express urbaine","3","","FFDD00","3D3C3F"
"0063","1","63","Rennes (Gares) <> Bruz (Pont-Réan)","Métropolitaine","3","","C6C400","1A171B"
"0203","1","203","Gares <> Lycée Joliot-Curie","Complémentaire","3","","F39200","FFFFFF"
"0212","1","212","Saint-Erblon (Orgerblon) <> Rennes (Lycée Bréquigny)","Complémentaire","3","","BA67A6","FFFFFF"
"0213","1","213","Bourgbarré (Moc Souris) <> Rennes (Lycée Bréquigny)","Complémentaire","3","","94C11F","FFFFFF"
"0215","1","215","Villejean-Université <> Lycée Joliot-Curie","Complémentaire","3","","FECC00","1A171B"
"0220","1","220","Acigné (Timonière) <> Cesson-Sévigné (Lycée Sévigné)","Complémentaire","3","","009FE3","FFFFFF"
"0301","1","Ts1","Noyal-Châtillon-sur-Seiche (La Touche) <> Bruz (Collège Saint-Joseph)","Transport scolaire","3","","702283","FFFFFF"
"0302","1","Ts2","Saint-Erblon (Douazel) <> Bruz (Collège Saint-Joseph)","Transport scolaire","3","","A85E24","FFFFFF"
"0303","1","Ts3","Noyal-Châtillon-sur-Seiche (Boisardière) <> Bruz (Lycée Anita Conti)","Transport scolaire","3","","5DC4E1","FFFFFF"
"0304","1","Ts4","Bourgbarré (La Fretais) <> Bruz (Collège Saint-Joseph)","Transport scolaire","3","","76B729","FFFFFF"
"0305","1","Ts5","Bourgbarré (Moc Souris) <> Bruz (Collège Saint-Joseph)","Transport scolaire","3","","BA67A6","FFFFFF"
"0306","1","Ts6","Laillé (Montheleu) <> Bruz (Collège Saint-Joseph)","Transport scolaire","3","","F39200","FFFFFF"
"0307","1","Ts7","Bourgbarré (Les Cruaux) <> Bruz (Lycée Anita Conti)","Transport scolaire","3","","4465AD","FFFFFF"
"0308","1","Ts8","Mordelles (Pâtis) <> Bruz (Collège Brossolette)","Transport scolaire","3","","E30613","FFFFFF"
