stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1001","1001","Longs Champs","Rennes","48.129077","-1.63253","","","","","","1"
"1002","1002","Bouzat","Rennes","48.128283","-1.637782","","","","","","1"
"1003","1003","Gallets","Rennes","48.127369","-1.640433","","","","","","1"
"1004","1004","Donzelot","Rennes","48.125244","-1.642676","","","","","","1"
"1005","1005","Mirabeau","Rennes","48.123363","-1.646317","","","","","","1"
"1006","1006","Turmel","Rennes","48.12229","-1.650742","","","","","","1"
"1007","1007","Assomption","Rennes","48.121446","-1.655036","","","","","","1"
"1008","1008","Painlevé","Rennes","48.123212","-1.660216","","","","","","1"
"1009","1009","Metz Volney","Rennes","48.121635","-1.663186","","","","","","1"
"1010","1010","Guéhenno","Rennes","48.119241","-1.667693","","","","","","1"
"1011","1011","Fac de Droit","Rennes","48.118312","-1.671315","","","","","","1"
"1012","1012","Sévigné","Rennes","48.11605","-1.674245","","","","","","1"
"1014","1014","Sainte-Anne","Rennes","48.113739","-1.679038","","","","","","1"
"1015","1015","Champ Jacquet","Rennes","48.11252","-1.680352","","","","","","2"
"1016","1016","République Nemours","Rennes","48.110073","-1.680101","","","","","","1"
"1017","1017","Les Halles","Rennes","48.108415","-1.680213","","","","","","2"
"1018","1018","Plélo Colombier","Rennes","48.106204","-1.680999","","","","","","1"
"1019","1019","Cité Judiciaire","Rennes","48.105084","-1.684731","","","","","","1"
"1020","1020","Mermoz","Rennes","48.097442","-1.689566","","","","","","1"
"1021","1021","Cité Judiciaire","Rennes","48.105444","-1.684005","","","","","","1"
"1022","1022","Plélo Colombier","Rennes","48.106222","-1.680736","","","","","","1"
"1023","1023","Les Halles","Rennes","48.108066","-1.680048","","","","","","1"
"1024","1024","République Nemours","Rennes","48.109977","-1.680268","","","","","","1"
"1025","1025","Champ Jacquet","Rennes","48.112738","-1.680211","","","","","","1"
"1026","1026","Sainte-Anne","Rennes","48.11482","-1.679242","","","","","","1"
"1027","1027","Hôtel Dieu","Rennes","48.117163","-1.677351","","","","","","1"
"1028","1028","Sévigné","Rennes","48.117513","-1.673538","","","","","","1"
"1029","1029","Fac de Droit","Rennes","48.118281","-1.669591","","","","","","1"
"1030","1030","Guéhenno","Rennes","48.119572","-1.666629","","","","","","1"
"1031","1031","Metz Volney","Rennes","48.121987","-1.662185","","","","","","1"
"1032","1032","Painlevé","Rennes","48.123242","-1.659266","","","","","","1"
"1033","1033","Assomption","Rennes","48.12128","-1.655029","","","","","","1"
"1034","1034","Turmel","Rennes","48.122185","-1.650619","","","","","","1"
"1035","1035","Mirabeau","Rennes","48.123677","-1.645158","","","","","","1"
"1036","1036","Donzelot","Rennes","48.125556","-1.64198","","","","","","1"
"1037","1037","Gallets","Rennes","48.127801","-1.639871","","","","","","1"
"1038","1038","Bouzat","Rennes","48.128209","-1.637118","","","","","","1"
"1039","1039","Longs Champs","Rennes","48.128998","-1.63238","","","","","","1"
"1040","1040","Donelière","Rennes","48.130069","-1.684377","","","","","","1"
"1041","1041","Trois Croix","Rennes","48.128749","-1.6836","","","","","","1"
"1042","1042","Cimetière Nord","Rennes","48.124255","-1.681766","","","","","","1"
"1043","1043","Saint-Martin","Rennes","48.123614","-1.684238","","","","","","1"
"1044","1044","ESPE","Rennes","48.122179","-1.685924","","","","","","1"
"1046","1046","Anatole France","Rennes","48.11824","-1.689403","","","","","","1"
"1047","1047","La Touche","Rennes","48.11612","-1.691288","","","","","","1"
"1048","1048","Brest Verdun","Rennes","48.113357","-1.693476","","","","","","1"
"1049","1049","Horizons","Rennes","48.111632","-1.689371","","","","","","1"
"1050","1050","Les Lices","Rennes","48.111647","-1.686999","","","","","","1"
"1051","1051","Place de Bretagne","Rennes","48.109888","-1.68328","","","","","","1"
"1052","1052","République","Rennes","48.109934","-1.678869","","","","","","1"
"1054","1054","Liberté TNB","Rennes","48.107564","-1.675176","","","","","","2"
"1055","1055","Champs Libres","Rennes","48.106057","-1.67401","","","","","","1"
"1056","1056","Gares","Rennes","48.103956","-1.673185","","","","","","1"
"1057","1057","Laënnec","Rennes","48.104747","-1.667176","","","","","","1"
"1060","1060","Piré","Rennes","48.099452","-1.657522","","","","","","1"
"1061","1061","Bourgeois","Rennes","48.097255","-1.654254","","","","","","1"
"1062","1062","Calmette","Rennes","48.09511","-1.650566","","","","","","2"
"1063","1063","Monsieur Vincent","Rennes","48.09273","-1.64749","","","","","","1"
"1064","1064","Lycée Descartes","Rennes","48.090281","-1.645018","","","","","","1"
"1065","1065","La Poterie","Rennes","48.087621","-1.64393","","","","","","1"
