route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0050","12","1","50 | Rennes République","","0","1172052","","1",""
"0050","17","10","50 | Rennes République","","0","1171243","","1",""
"0050","32","100","50 | Thorigné-Fouillard","","1","1171503","","1",""
"0001","29","1000","1 | Cesson-Sévigné Champs Blancs","","1","1175415","","1",""
"0004","12","10000","C4 | République","","0","1173080","","1",""
"0004","17","10001","C4 | République","","0","1171275","","1",""
"0004","21","10002","C4 | République","","0","1168097","","1",""
"0004","32","10003","C4 | République","","0","1171729","","1",""
"0004","12","10004","C4 | Beauregard","","0","1173040","","1",""
"0004","17","10005","C4 | Beauregard","","0","1171427","","1",""
"0004","21","10006","C4 | Beauregard","","0","1168951","","1",""
"0004","32","10007","C4 | Beauregard","","0","1171689","","1",""
"0004","12","10008","C4 | ZA Saint-Sulpice","","1","1173028","","1",""
"0004","17","10009","C4 | ZA Saint-Sulpice","","1","1171415","","1",""
"0001","29","1001","1 | Cesson-Sévigné Champs Blancs","","1","1175125","","1",""
"0004","21","10010","C4 | ZA Saint-Sulpice","","1","1168939","","1",""
"0004","32","10011","C4 | ZA Saint-Sulpice","","1","1171677","","1",""
"0004","12","10012","C4 | Beauregard","","0","1173081","","1",""
"0004","17","10013","C4 | Beauregard","","0","1171276","","1",""
"0004","21","10014","C4 | Beauregard","","0","1168098","","1",""
"0004","32","10015","C4 | Beauregard","","0","1171730","","1",""
"0004","12","10016","C4 | Beauregard","","0","1173080","","1",""
"0004","17","10017","C4 | Beauregard","","0","1171275","","1",""
"0004","21","10018","C4 | Beauregard","","0","1168097","","1",""
"0004","32","10019","C4 | Beauregard","","0","1171729","","1",""
"0001","29","1002","1 | Cesson-Sévigné Champs Blancs","","1","1175123","","1",""
"0004","12","10020","C4 | Beauregard","","0","1173031","","1",""
"0004","17","10021","C4 | Beauregard","","0","1171418","","1",""
"0004","21","10022","C4 | Beauregard","","0","1168942","","1",""
"0004","32","10023","C4 | Beauregard","","0","1171680","","1",""
"0004","12","10024","C4 | ZA Saint-Sulpice","","1","1173034","","1",""
"0004","17","10025","C4 | ZA Saint-Sulpice","","1","1171421","","1",""
"0004","21","10026","C4 | ZA Saint-Sulpice","","1","1168945","","1",""
"0004","32","10027","C4 | ZA Saint-Sulpice","","1","1171683","","1",""
"0004","12","10028","C4 | Beauregard","","0","1173040","","1",""
"0004","17","10029","C4 | Beauregard","","0","1171427","","1",""
"0001","29","1003","1 | Cesson-Sévigné Champs Blancs","","1","1175122","","1",""
"0004","21","10030","C4 | Beauregard","","0","1168951","","1",""
"0004","32","10031","C4 | Beauregard","","0","1171689","","1",""
"0004","12","10032","C4 | ZA Saint-Sulpice","","1","1173028","","1",""
"0004","17","10033","C4 | ZA Saint-Sulpice","","1","1171415","","1",""
"0004","21","10034","C4 | ZA Saint-Sulpice","","1","1168939","","1",""
"0004","32","10035","C4 | ZA Saint-Sulpice","","1","1171677","","1",""
"0004","12","10036","C4 | ZA Saint-Sulpice","","1","1173030","","1",""
"0004","17","10037","C4 | ZA Saint-Sulpice","","1","1171417","","1",""
"0004","21","10038","C4 | ZA Saint-Sulpice","","1","1168941","","1",""
"0004","32","10039","C4 | ZA Saint-Sulpice","","1","1171679","","1",""
"0001","29","1004","1 | Cesson-Sévigné Champs Blancs","","1","1175419","","1",""
"0004","12","10040","C4 | Beauregard","","0","1173030","","1",""
"0004","17","10041","C4 | Beauregard","","0","1171417","","1",""
"0004","21","10042","C4 | Beauregard","","0","1168941","","1",""
"0004","32","10043","C4 | Beauregard","","0","1171679","","1",""
"0004","12","10044","C4 | Beauregard","","0","1173039","","1",""
"0004","17","10045","C4 | Beauregard","","0","1171426","","1",""
"0004","21","10046","C4 | Beauregard","","0","1168950","","1",""
"0004","32","10047","C4 | Beauregard","","0","1171688","","1",""
"0004","12","10048","C4 | Beauregard","","0","1173031","","1",""
"0004","17","10049","C4 | Beauregard","","0","1171418","","1",""
"0001","29","1005","1 | Cesson-Sévigné Champs Blancs","","1","1175121","","1",""
"0004","21","10050","C4 | Beauregard","","0","1168942","","1",""
"0004","32","10051","C4 | Beauregard","","0","1171680","","1",""
"0004","12","10052","C4 | ZA Saint-Sulpice","","1","1173032","","1",""
"0004","17","10053","C4 | ZA Saint-Sulpice","","1","1171419","","1",""
"0004","21","10054","C4 | ZA Saint-Sulpice","","1","1168943","","1",""
"0004","32","10055","C4 | ZA Saint-Sulpice","","1","1171681","","1",""
"0004","12","10056","C4 | Beauregard","","0","1173036","","1",""
"0004","17","10057","C4 | Beauregard","","0","1171423","","1",""
"0004","21","10058","C4 | Beauregard","","0","1168947","","1",""
"0004","32","10059","C4 | Beauregard","","0","1171685","","1",""
"0001","29","1006","1 | Cesson-Sévigné Champs Blancs","","1","1175126","","1",""
"0004","12","10060","C4 | Beauregard","","0","1173032","","1",""
"0004","17","10061","C4 | Beauregard","","0","1171419","","1",""
"0004","21","10062","C4 | Beauregard","","0","1168943","","1",""
"0004","32","10063","C4 | Beauregard","","0","1171681","","1",""
"0004","12","10064","C4 | ZA Saint-Sulpice","","1","1173036","","1",""
"0004","17","10065","C4 | ZA Saint-Sulpice","","1","1171423","","1",""
